spp_author,Species,BEs
"Stenocercus albolineatus* Teixeira et al., 2016",Stenocercus albolineatus*,0
"Stenocercus canastra* Avila-Pires et al., 2019",Stenocercus canastra*,0
"Stenocercus quinarius Nogueira & Rodrigues, 2006",Stenocercus quinarius,0
"Stenocercus sinesaccus Torres-Carvajal, 2005",Stenocercus sinesaccus,0
"Suiriri affinis (Burmeister, 1856)",Suiriri affinis,0
"Syndactyla dimidiata (Pelzeln, 1859)",Syndactyla dimidiata,0
"Taoniscus nanus (Temminck, 1815)",Taoniscus nanus,0
"Thalpomys cerradensis Hershkovitz, 1990",Thalpomys cerradensis,0
"Thalpomys lasiotis Thomas, 1916",Thalpomys lasiotis,0
"Thamnodynastes rutilus (Prado, 1942)",Thamnodynastes rutilus,0
"Thrichomys apereoides (Lund, 1839)",Thrichomys apereoides,0
"Thrichomys pachyurus (Wagner, 1845)",Thrichomys pachyurus,0
"Thylamys velutinus (Wagner, 1842)",Thylamys velutinus,0
"Trilepida brasiliensis (Laurent, 1949)",Trilepida brasiliensis,0
"Trilepida fuliginosa (Passos et al., 2006)",Trilepida fuliginosa,0
"Trilepida koppesi (Amaral, 1955)",Trilepida koppesi,0
"Tropidurus itambere Rodrigues, 1987",Tropidurus itambere,0
"Tropidurus montanus Rodrigues, 1987",Tropidurus montanus,0
"Tropidurus oreadicus Rodrigues, 1987",Tropidurus oreadicus,0
"Tupinambis matipu* Silva et al., 2018",Tupinambis matipu*,0
"Tupinambis quadrilineatus Manzani & Abe, 1997",Tupinambis quadrilineatus,0
"Uropelia campestris (Spix, 1825)",Uropelia campestris,0
"Vanzosaura savanicola* Recoder et al., 2014",Vanzosaura savanicola*,0
"Asthenes luizae Vielliard, 1990",Asthenes luizae,1
"Augastes scutatus (Temminck, 1824)",Augastes scutatus,1
"Boana cipoensis (Lutz,1968)",Boana cipoensis,1
"Bokermannohyla alvarengai (Bokermann, 1956)",Bokermannohyla alvarengai,1
"Bokermannohyla nanuzae (Bokermann & Sazima, 1973)",Bokermannohyla nanuzae,1
"Bokermannohyla saxicola (Bokermann, 1964)",Bokermannohyla saxicola,1
"Cinclodes espinhacensis Freitas et al., 2012",Cinclodes espinhacensis,1
"Crossodactylus trachystomus (Reinhardt & Lütken, 1862)",Crossodactylus trachystomus,1
"Embernagra longicauda Strickland, 1844",Embernagra longicauda,1
"Eurolophosaurus nanuzae (Rodrigues, 1981)",Eurolophosaurus nanuzae,1
"Hylodes otavioi Sazima & Bokermann, 1983",Hylodes otavioi,1
"Leptodactylus camaquara Sazima & Bokermann, 1978",Leptodactylus camaquara,1
"Lonchophylla bokermanni Sazima et al., 1978",Lonchophylla bokermanni,1
Odontophrynus juquinha* Rocha et al. 2017,Odontophrynus juquinha*,1
"Phasmahyla jandaia (Bokermann & Sazima, 1978)",Phasmahyla jandaia,1
"Physalaemus deimaticus Sazima & Caramaschi, 1988",Physalaemus deimaticus,1
"Physalaemus evangelistai Bokermann, 1967",Physalaemus evangelistai,1
"Pithecopus megacephalus (Miranda-Ribeiro, 1926)",Pithecopus megacephalus,1
"Polystictus superciliaris (Wied, 1831)",Polystictus superciliaris,1
