"class","family","genus","species","range","year","New","IUCN","elev_class"
"Amphibians","Leptodactylidae","Pseudopaludicola","Pseudopaludicola facureae*","Partial",2013,"s","-","general"
"Amphibians","Leptodactylidae","Pseudopaludicola","Pseudopaludicola ibisoroca*","Restricted",2016,"s","-","plateau"
"Amphibians","Leptodactylidae","Pseudopaludicola","Pseudopaludicola jazmynmcdonaldae*","Restricted",2019,"s","-","depression"
"Amphibians","Leptodactylidae","Pseudopaludicola","Pseudopaludicola mineira*","Restricted",1994,"s","DD","plateau"
"Amphibians","Leptodactylidae","Pseudopaludicola","Pseudopaludicola ternetzi*","Partial",1937,"s","LC","general"
"Lizards","Gymnophthalmidae","Psilops","Psilops seductus*","Restricted",2017,"s","-","plateau"
"Aves","Psittacidae ","Pyrrhura","Pyrrhura pfrimeri","Restricted",1920,"s","EN","general"
"Snakes","Dipsadidae","Rhachidelus","Rhachidelus brazili","Partial",1908,"n","LC","depression"
"Lizards","Gymnophthalmidae","Rhachisaurus","Rhachisaurus brachylepis","Restricted",1974,"n","-","plateau"
"Amphibians","Bufonidae","Rhinella","Rhinella cerradensis","Partial",2007,"n","DD","plateau"
"Amphibians","Bufonidae","Rhinella","Rhinella inopina","Restricted",2012,"n","-","plateau"
"Amphibians","Bufonidae","Rhinella","Rhinella ocellata","Partial",1858,"n","LC","depression"
"Amphibians","Bufonidae","Rhinella","Rhinella rubescens","Partial",1925,"n","LC","plateau"
"Amphibians","Bufonidae","Rhinella","Rhinella scitula","Partial",2003,"n","DD","depression"
"Amphibians","Bufonidae","Rhinella","Rhinella sebbeni*","Restricted",2015,"s","-","plateau"
"Amphibians","Bufonidae","Rhinella","Rhinella veredas","Partial",2007,"n","LC","plateau"
"Mammals","Cricetidae","Rhipidomys","Rhipidomys ipukensis","Restricted",2011,"s","DD","depression"
"Mammals","Cricetidae","Rhipidomys","Rhipidomys macrurus","Wide",1855,"s","LC","general"
"Aves","Thraupidae","Saltatricula","Saltatricula atricollis","Wide",1817,"s","LC","general"
"Lizards","Teiidae","Salvator","Salvator duseni","Partial",1910,"n","-","general"
"Amphibians","Hylidae","Scinax","Scinax cabralensis","Restricted",2007,"n","DD","plateau"
"Amphibians","Hylidae","Scinax","Scinax canastrensis","Restricted",1982,"n","DD","plateau"
"Amphibians","Hylidae","Scinax","Scinax centralis","Restricted",1996,"n","LC","plateau"
"Amphibians","Hylidae","Scinax","Scinax constrictus","Partial",2005,"n","LC","depression"
"Amphibians","Hylidae","Scinax","Scinax curicica","Restricted",2004,"n","DD","plateau"
"Amphibians","Hylidae","Scinax","Scinax goya*","Restricted",2018,"s","-","plateau"
"Amphibians","Hylidae","Scinax","Scinax haddadorum*","Restricted",2016,"s","-","general"
"Amphibians","Hylidae","Scinax","Scinax machadoi","Restricted",1973,"n","LC","plateau"
"Amphibians","Hylidae","Scinax","Scinax maracaya","Restricted",1980,"n","DD","plateau"
"Amphibians","Hylidae","Scinax","Scinax pinimus","Restricted",1973,"n","DD","plateau"
"Amphibians","Hylidae","Scinax","Scinax pombali","Restricted",2013,"n","-","plateau"
"Amphibians","Hylidae","Scinax","Scinax rogerioi","Partial",2009,"n","-","plateau"
"Amphibians","Hylidae","Scinax","Scinax rossaferesae*","Restricted",2016,"s","-","plateau"
"Amphibians","Hylidae","Scinax","Scinax rupestris*","Restricted",2015,"s","-","plateau"
"Amphibians","Hylidae","Scinax","Scinax skaios","Restricted",2010,"n","-","plateau"
"Amphibians","Hylidae","Scinax","Scinax tigrinus","Restricted",2010,"n","LC","plateau"
"Aves","Rhinocryptidae","Scytalopus","Scytalopus novacapitalis","Partial",1958,"s","EN","plateau"
"Snakes","Leptotyphlopidae","Siagonodon","Siagonodon acutirostris","Restricted",2011,"n","-","plateau"
"Snakes","Colubridae","Simophis","Simophis rhinostoma","Partial",1837,"n","-","plateau"
"Aves","Thraupidae","Sporophila","Sporophila nigrorufa","Partial",1837,"s","VU","depression"
"Lizards","Tropiduridae","Stenocercus","Stenocercus albolineatus*","Restricted",2015,"s","-","depression"
"Lizards","Tropiduridae","Stenocercus","Stenocercus canastra*","Restricted",2019,"s","-","plateau"
"Lizards","Tropiduridae","Stenocercus","Stenocercus quinarius","Restricted",2006,"n","LC","plateau"
"Lizards","Tropiduridae","Stenocercus","Stenocercus sinesaccus","Partial",2005,"n","LC","general"
"Aves","Tyrannidae","Suiriri","Suiriri affinis","Partial",1856,"s","NT","general"
"Aves","Furnariidae","Synallaxis","Synallaxis simoni","Partial",1907,"s","LC","depression"
"Aves","Furnariidae","Syndactyla","Syndactyla dimidiata","Partial",1859,"s","LC","plateau"
"Aves","Tinamidae","Taoniscus","Taoniscus nanus","Partial",1815,"s","EN","plateau"
"Mammals","Cricetidae","Thalpomys","Thalpomys cerradensis","Partial",1990,"s","LC","general"
"Mammals","Cricetidae","Thalpomys","Thalpomys lasiotis","Partial",1916,"s","LC","plateau"
"Snakes","Dipsadidae","Thamnodynastes","Thamnodynastes rutilus","Partial",1942,"n","-","general"
"Amphibians","Cycloramphidae","Thoropa","Thoropa megatympanum","Restricted",1984,"n","LC","plateau"
"Mammals","Echimyidae","Thrichomys","Thrichomys apereoides","Partial",1839,"s","LC","plateau"
"Mammals","Echimyidae","Thrichomys","Thrichomys pachyurus","Partial",1845,"s","LC","general"
"Mammals","Didelphidae","Thylamys","Thylamys velutinus","Partial",1842,"s","NT","plateau"
"Amphibians","Hylidae","Trachycephalus","Trachycephalus mambaiensis","Partial",2009,"n","-","plateau"
"Snakes","Leptotyphlopidae","Trilepida","Trilepida brasiliensis","Wide",1949,"n","-","depression"
"Snakes","Leptotyphlopidae","Trilepida","Trilepida fuliginosa","Partial",2006,"n","-","general"
"Snakes","Leptotyphlopidae","Trilepida","Trilepida jani","Restricted",2012,"n","-","plateau"
"Snakes","Leptotyphlopidae","Trilepida","Trilepida koppesi","Partial",1955,"n","-","general"
"Mammals","Echimyidae","Trinomys","Trinomys moojeni","Restricted",1992,"s","?","plateau"
"Snakes","Tropidophiidae","Tropidophis","Tropidophis preciosus","Restricted",2012,"n","-","plateau"
"Lizards","Tropiduridae","Tropidurus","Tropidurus callathelys","Restricted",1998,"n","-","depression"
"Lizards","Tropiduridae","Tropidurus","Tropidurus chromatops","Restricted",1998,"n","LC","depression"
"Lizards","Tropiduridae","Tropidurus","Tropidurus itambere","Partial",1987,"n","LC","general"
"Lizards","Tropiduridae","Tropidurus","Tropidurus montanus","Partial",1987,"n","LC","plateau"
"Lizards","Tropiduridae","Tropidurus","Tropidurus oreadicus","Partial",1987,"n","LC","depression"
"Lizards","Teiidae","Tupinambis","Tupinambis matipu*","Partial",2018,"s","-","depression"
"Lizards","Teiidae","Tupinambis","Tupinambis quadrilineatus","Partial",1997,"n","LC","depression"
"Aves","Columbidae","Uropelia","Uropelia campestris","Wide",1825,"s","LC","depression"
"Lizards","Gymnophthalmidae","Vanzosaura","Vanzosaura savanicola*","Partial",2014,"s","LC","plateau"
"Snakes","Dipsadidae","Xenodon","Xenodon matogrossensis","Partial",1993,"n","-","depression"
"Snakes","Dipsadidae","Xenodon","Xenodon nattereri","Wide",1867,"n","-","general"
