class,family,genus,species,range,year,New,IUCN
Amphibians,Hylidae,Scinax,Scinax tigrinus,Restricted,2010,n,LC
Aves,Rhinocryptidae,Scytalopus,Scytalopus novacapitalis,Partial,1958,s,EN
Snakes,Leptotyphlopidae,Siagonodon,Siagonodon acutirostris,Restricted,2011,n,-
Snakes,Colubridae,Simophis,Simophis rhinostoma,Partial,1837,n,-
Aves,Thraupidae,Sporophila,Sporophila nigrorufa,Partial,1837,s,VU
Lizards,Tropiduridae,Stenocercus,Stenocercus albolineatus*,Restricted,2015,s,-
Lizards,Tropiduridae,Stenocercus,Stenocercus canastra*,Restricted,2019,s,-
Lizards,Tropiduridae,Stenocercus,Stenocercus quinarius,Restricted,2006,n,LC
Lizards,Tropiduridae,Stenocercus,Stenocercus sinesaccus,Partial,2005,n,LC
Aves,Tyrannidae,Suiriri,Suiriri affinis,Partial,1856,s,NT
Aves,Furnariidae,Synallaxis,Synallaxis simoni,Partial,1907,s,LC
Aves,Furnariidae,Syndactyla,Syndactyla dimidiata,Partial,1859,s,LC
Aves,Tinamidae,Taoniscus,Taoniscus nanus,Partial,1815,s,EN
Mammals,Cricetidae,Thalpomys,Thalpomys cerradensis,Partial,1990,s,LC
Mammals,Cricetidae,Thalpomys,Thalpomys lasiotis,Partial,1916,s,LC
Snakes,Dipsadidae,Thamnodynastes,Thamnodynastes rutilus,Partial,1942,n,-
Amphibians,Cycloramphidae,Thoropa,Thoropa megatympanum,Restricted,1984,n,LC
Mammals,Echimyidae,Thrichomys,Thrichomys apereoides,Partial,1839,s,LC
Mammals,Echimyidae,Thrichomys,Thrichomys pachyurus,Partial,1845,s,LC
Mammals,Didelphidae,Thylamys,Thylamys velutinus,Partial,1842,s,NT
Amphibians,Hylidae,Trachycephalus,Trachycephalus mambaiensis,Partial,2009,n,-
Snakes,Leptotyphlopidae,Trilepida,Trilepida brasiliensis,Wide,1949,n,-
Snakes,Leptotyphlopidae,Trilepida,Trilepida fuliginosa,Partial,2006,n,-
Snakes,Leptotyphlopidae,Trilepida,Trilepida jani,Restricted,2012,n,-
Snakes,Leptotyphlopidae,Trilepida,Trilepida koppesi,Partial,1955,n,-
Mammals,Echimyidae,Trinomys,Trinomys moojeni,Restricted,1992,s,?
Snakes,Tropidophiidae,Tropidophis,Tropidophis preciosus,Restricted,2012,n,-
Lizards,Tropiduridae,Tropidurus,Tropidurus callathelys,Restricted,1998,n,-
Lizards,Tropiduridae,Tropidurus,Tropidurus chromatops,Restricted,1998,n,LC
Lizards,Tropiduridae,Tropidurus,Tropidurus itambere,Partial,1987,n,LC
Lizards,Tropiduridae,Tropidurus,Tropidurus montanus,Partial,1987,n,LC
Lizards,Tropiduridae,Tropidurus,Tropidurus oreadicus,Partial,1987,n,LC
Lizards,Teiidae,Tupinambis,Tupinambis matipu*,Partial,2018,s,-
Lizards,Teiidae,Tupinambis,Tupinambis quadrilineatus,Partial,1997,n,LC
Aves,Columbidae,Uropelia,Uropelia campestris,Wide,1825,s,LC
Lizards,Gymnophthalmidae,Vanzosaura,Vanzosaura savanicola*,Partial,2014,s,LC
Snakes,Dipsadidae,Xenodon,Xenodon matogrossensis,Partial,1993,n,-
Snakes,Dipsadidae,Xenodon,Xenodon nattereri,Wide,1867,n,-
