species,latitude,longitude
Alipiopsitta xanthops,-14.4495,-47.0504
Alipiopsitta xanthops,-15.5375,-47.3344
Alipiopsitta xanthops,-14.9333,-46.2167
Alipiopsitta xanthops,-11.7975,-49.5294
Alipiopsitta xanthops,-17.4833,-47.3333
Alipiopsitta xanthops,-17.5667,-47.1333
Alipiopsitta xanthops,-19.8667,-47.8833
Alipiopsitta xanthops,-20.5395,-47.4014
Alipiopsitta xanthops,-22.4185,-54.2335
Alipiopsitta xanthops,-16.6667,-49.2667
Alipiopsitta xanthops,-8.7765,-48.9324
Alipiopsitta xanthops,-18.8445,-46.7934
Alipiopsitta xanthops,-16.3495,-53.7584
Alipiopsitta xanthops,-19.4785,-46.5394
Alipiopsitta xanthops,-20.4625,-47.1224
Alipiopsitta xanthops,-20.4335,-51.3434
Alipiopsitta xanthops,-19.7265,-51.9305
Alipiopsitta xanthops,-17.0655,-43.3094
Alipiopsitta xanthops,-15.0833,-44.1167
Alipiopsitta xanthops,-20.6667,-51.5167
Alipiopsitta xanthops,-17.2095,-54.1505
Alipiopsitta xanthops,-22.3055,-53.8155
Alipiopsitta xanthops,-13.6195,-44.4334
Alipiopsitta xanthops,-15.9833,-55.0333
Alipiopsitta xanthops,-15.9655,-54.9685
Alipiopsitta xanthops,-21.4805,-56.1385
Alipiopsitta xanthops,-17.8815,-51.7144
Alipiopsitta xanthops,-17.75,-46.1667
Alipiopsitta xanthops,-17.7435,-46.1734
Alipiopsitta xanthops,-21.5155,-51.4344
Alipiopsitta xanthops,-10.7945,-49.6244
Alipiopsitta xanthops,-18.7795,-46.4084
Alipiopsitta xanthops,-17.8355,-46.5144
Alipiopsitta xanthops,-6.5833,-43.6167
Alipiopsitta xanthops,-9.7965,-49.6544
Alipiopsitta xanthops,-10.5167,-46.1
Alipiopsitta xanthops,-10.5485,-46.4214
Alipiopsitta xanthops,-15.4445,-50.7464
Alipiopsitta xanthops,-19.9965,-46.2264
Alipiopsitta xanthops,-17.5695,-52.5514
Alipiopsitta xanthops,-18.7255,-47.4994
Alipiopsitta xanthops,-21.2995,-51.5695
Alipiopsitta xanthops,-10.7628,-48.1089
Alipiopsitta xanthops,-17.4445,-51.1754
Alipiopsitta xanthops,-21.1355,-55.8305
Alipiopsitta xanthops,-14.4745,-48.4604
Alipiopsitta xanthops,-21.4665,-54.3845
Alipiopsitta xanthops,-22.2335,-53.3435
Alipiopsitta xanthops,-14.0995,-50.3274
Alipiopsitta xanthops,-19.1365,-47.6834
Alipiopsitta xanthops,-19.1333,-47.6833
Alipiopsitta xanthops,-14.6735,-52.3534
Alipiopsitta xanthops,-12.2905,-50.9684
Alipiopsitta xanthops,-14.9065,-53.0184
Alipiopsitta xanthops,-20.6833,-44.8167
Alipiopsitta xanthops,-18.2345,-47.8394
Alipiopsitta xanthops,-10.1675,-48.3334
Alipiopsitta xanthops,-7.8605,-47.9264
Alipiopsitta xanthops,-21.3565,-51.8605
Alipiopsitta xanthops,-17.2225,-46.8754
Alipiopsitta xanthops,-14.4325,-54.0514
Alipiopsitta xanthops,-10.2167,-44.6333
Alipiopsitta xanthops,-18.1,-53.3
Alipiopsitta xanthops,-10.4667,-46.3167
Alipiopsitta xanthops,-20.3833,-54.5833
Alipiopsitta xanthops,-19.2,-48.1333
Alipiopsitta xanthops,-18,-52.75
