cod_areas,xcoord,ycoord,1
BE 2,-53.9437713621586,-21.0323257448372,426
BE 2,-53.9437713621586,-22.0323257448372,307
BE 2,-53.9437713621586,-23.0323257448372,269
BE 2,-52.9437713621586,-13.0323257448372,279
BE 2,-52.9437713621586,-14.0323257448372,490
BE 2,-52.9437713621586,-15.0323257448372,509
BE 2,-52.9437713621586,-16.0323257448372,404
BE 2,-52.9437713621586,-17.0323257448372,562
BE 2,-52.9437713621586,-18.0323257448372,838
BE 2,-52.9437713621586,-19.0323257448372,615
BE 2,-52.9437713621586,-20.0323257448372,306
BE 2,-52.9437713621586,-21.0323257448372,478
BE 2,-52.9437713621586,-22.0323257448372,398
BE 2,-51.9437713621586,-11.0323257448372,305
BE 2,-51.9437713621586,-13.0323257448372,346
BE 2,-51.9437713621586,-14.0323257448372,396
BE 2,-51.9437713621586,-15.0323257448372,311
BE 2,-51.9437713621586,-16.0323257448372,536
BE 2,-51.9437713621586,-17.0323257448372,874
BE 2,-51.9437713621586,-18.0323257448372,633
BE 2,-51.9437713621586,-19.0323257448372,556
BE 2,-51.9437713621586,-20.0323257448372,392
BE 2,-51.9437713621586,-21.0323257448372,314
BE 2,-51.9437713621586,-22.0323257448372,316
BE 2,-50.9437713621586,-10.0323257448372,300
BE 2,-50.9437713621586,-11.0323257448372,215
BE 2,-50.9437713621586,-12.0323257448372,240
BE 2,-50.9437713621586,-13.0323257448372,231
BE 2,-50.9437713621586,-14.0323257448372,305
BE 2,-50.9437713621586,-15.0323257448372,328
BE 2,-50.9437713621586,-16.0323257448372,711
BE 2,-50.9437713621586,-17.0323257448372,666
BE 2,-50.9437713621586,-18.0323257448372,694
BE 2,-50.9437713621586,-19.0323257448372,422
BE 2,-50.9437713621586,-20.0323257448372,339
BE 2,-50.9437713621586,-21.0323257448372,399
BE 2,-50.9437713621586,-22.0323257448372,413
BE 2,-50.9437713621586,-23.0323257448372,368
BE 2,-49.9437713621586,-8.03232574483718,260
BE 2,-49.9437713621586,-9.03232574483718,173
BE 2,-49.9437713621586,-10.0323257448372,205
BE 2,-49.9437713621586,-11.0323257448372,193
BE 2,-49.9437713621586,-12.0323257448372,207
BE 2,-49.9437713621586,-13.0323257448372,630
BE 2,-49.9437713621586,-14.0323257448372,372
BE 2,-49.9437713621586,-15.0323257448372,626
BE 2,-49.9437713621586,-16.0323257448372,814
BE 2,-49.9437713621586,-17.0323257448372,608
BE 2,-49.9437713621586,-18.0323257448372,594
BE 2,-49.9437713621586,-19.0323257448372,576
BE 2,-49.9437713621586,-20.0323257448372,426
BE 2,-49.9437713621586,-21.0323257448372,424
BE 2,-49.9437713621586,-22.0323257448372,445
BE 2,-49.9437713621586,-23.0323257448372,482
BE 2,-49.9437713621586,-24.0323257448372,622
BE 2,-49.9437713621586,-25.0323257448372,914
BE 2,-48.9437713621586,-8.03232574483718,201
BE 2,-48.9437713621586,-9.03232574483718,310
BE 2,-48.9437713621586,-10.0323257448372,305
BE 2,-48.9437713621586,-11.0323257448372,309
BE 2,-48.9437713621586,-12.0323257448372,458
BE 2,-48.9437713621586,-13.0323257448372,449
BE 2,-48.9437713621586,-14.0323257448372,612
BE 2,-48.9437713621586,-15.0323257448372,926
BE 2,-48.9437713621586,-16.0323257448372,917
BE 2,-48.9437713621586,-17.0323257448372,814
BE 2,-48.9437713621586,-18.0323257448372,608
BE 2,-48.9437713621586,-19.0323257448372,619
BE 2,-48.9437713621586,-20.0323257448372,558
BE 2,-48.9437713621586,-21.0323257448372,610
BE 2,-48.9437713621586,-22.0323257448372,460
BE 2,-48.9437713621586,-23.0323257448372,835
BE 2,-48.9437713621586,-24.0323257448372,875
BE 2,-47.9437713621586,-5.03232574483718,315
BE 2,-47.9437713621586,-6.03232574483718,270
BE 2,-47.9437713621586,-7.03232574483718,264
BE 2,-47.9437713621586,-8.03232574483718,101
BE 2,-47.9437713621586,-9.03232574483718,244
BE 2,-47.9437713621586,-10.0323257448372,246
BE 2,-47.9437713621586,-11.0323257448372,404
BE 2,-47.9437713621586,-12.0323257448372,461
BE 2,-47.9437713621586,-13.0323257448372,353
BE 2,-47.9437713621586,-14.0323257448372,568
BE 2,-47.9437713621586,-15.0323257448372,901
BE 2,-47.9437713621586,-16.0323257448372,1045
BE 2,-47.9437713621586,-17.0323257448372,705
BE 2,-47.9437713621586,-18.0323257448372,910
BE 2,-47.9437713621586,-19.0323257448372,752
BE 2,-47.9437713621586,-20.0323257448372,571
BE 2,-47.9437713621586,-21.0323257448372,547
BE 2,-47.9437713621586,-22.0323257448372,766
BE 2,-47.9437713621586,-23.0323257448372,505
BE 2,-47.9437713621586,-24.0323257448372,735
BE 2,-46.9437713621586,-5.03232574483718,181
BE 2,-46.9437713621586,-6.03232574483718,241
BE 2,-46.9437713621586,-7.03232574483718,257
BE 2,-46.9437713621586,-8.03232574483718,269
BE 2,-46.9437713621586,-9.03232574483718,615
BE 2,-46.9437713621586,-10.0323257448372,372
BE 2,-46.9437713621586,-11.0323257448372,540
BE 2,-46.9437713621586,-12.0323257448372,578
BE 2,-46.9437713621586,-13.0323257448372,556
BE 2,-46.9437713621586,-14.0323257448372,410
BE 2,-46.9437713621586,-15.0323257448372,754
BE 2,-46.9437713621586,-16.0323257448372,847
BE 2,-46.9437713621586,-17.0323257448372,702
BE 2,-46.9437713621586,-18.0323257448372,630
BE 2,-46.9437713621586,-19.0323257448372,919
BE 2,-46.9437713621586,-20.0323257448372,1017
BE 2,-46.9437713621586,-21.0323257448372,991
BE 2,-46.9437713621586,-22.0323257448372,646
BE 2,-46.9437713621586,-23.0323257448372,863
BE 2,-45.9437713621586,-7.03232574483718,337
BE 2,-45.9437713621586,-8.03232574483718,303
BE 2,-45.9437713621586,-9.03232574483718,276
BE 2,-45.9437713621586,-10.0323257448372,415
BE 2,-45.9437713621586,-11.0323257448372,778
BE 2,-45.9437713621586,-12.0323257448372,811
BE 2,-45.9437713621586,-13.0323257448372,778
BE 2,-45.9437713621586,-14.0323257448372,862
BE 2,-45.9437713621586,-15.0323257448372,830
BE 2,-45.9437713621586,-16.0323257448372,513
BE 2,-45.9437713621586,-17.0323257448372,561
BE 2,-45.9437713621586,-18.0323257448372,865
BE 2,-45.9437713621586,-19.0323257448372,915
BE 2,-45.9437713621586,-20.0323257448372,847
BE 2,-45.9437713621586,-21.0323257448372,740
BE 2,-44.9437713621586,-5.03232574483718,76
BE 2,-44.9437713621586,-6.03232574483718,329
BE 2,-44.9437713621586,-7.03232574483718,175
BE 2,-44.9437713621586,-8.03232574483718,338
BE 2,-44.9437713621586,-9.03232574483718,471
BE 2,-44.9437713621586,-10.0323257448372,468
BE 2,-44.9437713621586,-11.0323257448372,470
BE 2,-44.9437713621586,-12.0323257448372,449
BE 2,-44.9437713621586,-13.0323257448372,642
BE 2,-44.9437713621586,-14.0323257448372,667
BE 2,-44.9437713621586,-15.0323257448372,755
BE 2,-44.9437713621586,-16.0323257448372,529
BE 2,-44.9437713621586,-17.0323257448372,621
BE 2,-44.9437713621586,-18.0323257448372,703
BE 2,-44.9437713621586,-19.0323257448372,651
BE 2,-44.9437713621586,-20.0323257448372,765
BE 2,-44.9437713621586,-21.0323257448372,919
BE 2,-44.9437713621586,-22.0323257448372,979
BE 2,-43.9437713621586,-7.03232574483718,255
BE 2,-43.9437713621586,-8.03232574483718,252
BE 2,-43.9437713621586,-9.03232574483718,290
BE 2,-43.9437713621586,-10.0323257448372,451
BE 2,-43.9437713621586,-11.0323257448372,456
BE 2,-43.9437713621586,-12.0323257448372,567
BE 2,-43.9437713621586,-15.0323257448372,417
BE 2,-43.9437713621586,-16.0323257448372,632
BE 2,-43.9437713621586,-17.0323257448372,910
BE 2,-43.9437713621586,-18.0323257448372,1217
BE 2,-43.9437713621586,-19.0323257448372,696
BE 2,-43.9437713621586,-20.0323257448372,1088
BE 2,-43.9437713621586,-21.0323257448372,1013
BE 2,-43.9437713621586,-22.0323257448372,1224
BE 2,-42.9437713621586,-7.03232574483718,219
BE 2,-42.9437713621586,-9.03232574483718,605
BE 2,-42.9437713621586,-11.0323257448372,401
BE 2,-42.9437713621586,-12.0323257448372,431
BE 2,-42.9437713621586,-15.0323257448372,610
BE 2,-42.9437713621586,-16.0323257448372,924
BE 2,-42.9437713621586,-17.0323257448372,599
BE 2,-42.9437713621586,-18.0323257448372,1088
BE 2,-42.9437713621586,-19.0323257448372,597
BE 2,-42.9437713621586,-20.0323257448372,907
BE 2,-41.9437713621586,-7.03232574483718,199
BE 2,-41.9437713621586,-15.0323257448372,769
BE 2,-41.9437713621586,-16.0323257448372,914
