Species,Latitude,Longitude,alt
Alipiopsitta xanthops,-7.8605,-47.9264,98
Alipiopsitta xanthops,-21.3565,-51.8605,273
Alipiopsitta xanthops,-17.2225,-46.8754,700
Alipiopsitta xanthops,-14.4325,-54.0514,488
Alipiopsitta xanthops,-10.2167,-44.6333,457
Alipiopsitta xanthops,-18.1,-53.3,627
Alipiopsitta xanthops,-10.4667,-46.3167,618
Alipiopsitta xanthops,-20.3833,-54.5833,673
Alipiopsitta xanthops,-19.2,-48.1333,915
Alipiopsitta xanthops,-18,-52.75,742
Alipiopsitta xanthops,-10,-45.8,458
Alipiopsitta xanthops,-15.7167,-47.95,1077
Alipiopsitta xanthops,-15.35,-45.8333,759
Alipiopsitta xanthops,-18.5795,-46.5184,895
Alipiopsitta xanthops,-18.9445,-46.9934,1003
Alipiopsitta xanthops,-20.2575,-47.4774,1062
Alipiopsitta xanthops,-18.1015,-54.5525,325
Alipiopsitta xanthops,-12.0255,-48.5394,245
Alipiopsitta xanthops,-19.3535,-47.2934,913
Alipiopsitta xanthops,-17.3455,-44.9424,525
Alipiopsitta xanthops,-17.35,-44.9333,542
Alipiopsitta xanthops,-15.8525,-48.9594,762
Alipiopsitta xanthops,-10.4435,-49.1824,301
Alipiopsitta xanthops,-15.4535,-47.6144,1074
Alipiopsitta xanthops,-15.9345,-52.3174,297
Alipiopsitta xanthops,-17.8155,-50.1644,534
Alipiopsitta xanthops,-20.1167,-47.9667,564
Alipiopsitta xanthops,-10.7085,-48.4174,199
Alipiopsitta xanthops,-15.65,-56.2,207
Alipiopsitta xanthops,-21.7635,-52.1165,272
Alipiopsitta xanthops,-18.4185,-46.4184,914
Alipiopsitta xanthops,-21.8765,-51.8445,356
Alipiopsitta xanthops,-15.9333,-47.8833,1099
Alipiopsitta xanthops,-18.95,-48.2,722
Alipiopsitta xanthops,-16.2305,-45.9924,579
Alipiopsitta xanthops,-20.4435,-53.7595,337
Alipiopsitta xanthops,-12.9425,-51.8244,469
Alipiopsitta xanthops,-20.0815,-47.4214,604
Alipiopsitta xanthops,-15.9167,-52.25,303
Alipiopsitta xanthops,-11.4005,-46.8834,528
Alipiopsitta xanthops,-13.5,-51.3833,301
Alipiopsitta xanthops,-19.4495,-54.9875,231
Alipiopsitta xanthops,-12.0833,-46.7667,509
Alipiopsitta xanthops,-19.1945,-46.2474,929
Alipiopsitta xanthops,-11.35,-43.8667,422
Alipiopsitta xanthops,-17.7985,-50.9284,751
Alipiopsitta xanthops,-18.9185,-54.8445,366
Alipiopsitta xanthops,-20.1795,-51.0024,328
Alipiopsitta xanthops,-19.8655,-47.4404,893
Alipiopsitta xanthops,-15.65,-53.9,590
Alipiopsitta xanthops,-20.0895,-50.9544,347
Alipiopsitta xanthops,-20.2115,-50.9264,340
Alipiopsitta xanthops,-17.8145,-50.5974,582
Alipiopsitta xanthops,-19.3095,-47.5254,917
Alipiopsitta xanthops,-10.4705,-50.5034,168
Alipiopsitta xanthops,-9.8333,-45.35,474
Alipiopsitta xanthops,-15.8665,-56.0775,153
Alipiopsitta xanthops,-15.85,-47.9333,1067
Alipiopsitta xanthops,-12.3635,-44.9734,555
Alipiopsitta xanthops,-13.3985,-46.3184,633
Alipiopsitta xanthops,-11.6175,-50.6694,182
Alipiopsitta xanthops,-11.7,-50.7,184
Alipiopsitta xanthops,-19.3955,-54.5665,586
Alipiopsitta xanthops,-18.3385,-45.8334,837
Alipiopsitta xanthops,-20.6415,-46.5064,665
Alipiopsitta xanthops,-14.7,-47.5333,1040
Alipiopsitta xanthops,-21.2685,-51.6665,305
Alipiopsitta xanthops,-11.0333,-45.5333,507
Alipiopsitta xanthops,-13.2755,-50.1634,319
Alipiopsitta xanthops,-5.0833,-48.4167,101
Alipiopsitta xanthops,-16.3667,-45.0667,494
Alipiopsitta xanthops,-20.2455,-46.3664,901
Alipiopsitta xanthops,-20.3675,-51.4194,306
Alipiopsitta xanthops,-15.65,-57.2167,299
Alipiopsitta xanthops,-10.2667,-48.3667,193
Alipiopsitta xanthops,-19.1115,-46.6904,1220
Alipiopsitta xanthops,-15.6333,-47.8167,1089
Alipiopsitta xanthops,-17.5775,-54.7585,331
Alipiopsitta xanthops,-12.4167,-46.4333,706
Alipiopsitta xanthops,-19.9225,-46.8234,1194
Alipiopsitta xanthops,-20.4425,-54.8605,466
Alipiopsitta xanthops,-13.7765,-47.2654,863
Alipiopsitta xanthops,-16.1995,-52.5564,323
Alipiopsitta xanthops,-20.7833,-51.7,321
Alipiopsitta xanthops,-20.7515,-51.6785,314
Alipiopsitta xanthops,-18.2065,-45.2424,610
Alipiopsitta xanthops,-19.7485,-47.9324,750
Alipiopsitta xanthops,-18.9195,-48.2774,690
Alipiopsitta xanthops,-16.3585,-46.9064,610
Alipiopsitta xanthops,-16.0645,-46.2544,586
Alipiopsitta xanthops,-16.1335,-45.7424,503
Alipiopsitta xanthops,-14.8667,-55.7833,266
