species,elevation,sample
Alipiopsitta xanthops,913,330
Alipiopsitta xanthops,913,330
Alipiopsitta xanthops,525,370
Alipiopsitta xanthops,542,370
Alipiopsitta xanthops,762,285
Alipiopsitta xanthops,762,285
Alipiopsitta xanthops,301,279
Alipiopsitta xanthops,301,279
Alipiopsitta xanthops,1074,305
Alipiopsitta xanthops,1074,305
Alipiopsitta xanthops,297,222
Alipiopsitta xanthops,297,222
Alipiopsitta xanthops,534,266
Alipiopsitta xanthops,564,310
Alipiopsitta xanthops,199,301
Alipiopsitta xanthops,199,301
Alipiopsitta xanthops,207,138
Alipiopsitta xanthops,272,228
Alipiopsitta xanthops,272,228
Alipiopsitta xanthops,914,350
Alipiopsitta xanthops,914,350
Alipiopsitta xanthops,356,228
Alipiopsitta xanthops,356,228
Alipiopsitta xanthops,1099,306
Alipiopsitta xanthops,722,309
Alipiopsitta xanthops,579,348
Alipiopsitta xanthops,337,184
Alipiopsitta xanthops,337,184
Alipiopsitta xanthops,469,219
Alipiopsitta xanthops,604,331
Alipiopsitta xanthops,604,331
Alipiopsitta xanthops,303,222
Alipiopsitta xanthops,121,138
Alipiopsitta xanthops,121,138
Alipiopsitta xanthops,121,138
Alipiopsitta xanthops,121,138
Alipiopsitta xanthops,121,138
Alipiopsitta xanthops,121,138
Alipiopsitta xanthops,121,138
Alipiopsitta xanthops,528,322
Alipiopsitta xanthops,528,322
Alipiopsitta xanthops,301,240
Alipiopsitta xanthops,301,240
Alipiopsitta xanthops,231,162
Alipiopsitta xanthops,231,162
Alipiopsitta xanthops,509,323
Alipiopsitta xanthops,929,351
Alipiopsitta xanthops,929,351
Alipiopsitta xanthops,422,385
Alipiopsitta xanthops,751,245
Alipiopsitta xanthops,366,162
Alipiopsitta xanthops,366,162
Alipiopsitta xanthops,328,247
Alipiopsitta xanthops,328,247
Alipiopsitta xanthops,893,331
Alipiopsitta xanthops,893,331
Alipiopsitta xanthops,590,180
Alipiopsitta xanthops,347,247
Alipiopsitta xanthops,347,247
Alipiopsitta xanthops,340,247
Alipiopsitta xanthops,340,247
Alipiopsitta xanthops,582,245
Alipiopsitta xanthops,582,245
Alipiopsitta xanthops,917,309
Alipiopsitta xanthops,917,309
Alipiopsitta xanthops,168,237
Alipiopsitta xanthops,168,237
Alipiopsitta xanthops,474,363
Alipiopsitta xanthops,153,138
Alipiopsitta xanthops,1067,306
Alipiopsitta xanthops,555,365
Alipiopsitta xanthops,555,365
Alipiopsitta xanthops,301,240
Alipiopsitta xanthops,633,345
Alipiopsitta xanthops,633,345
Alipiopsitta xanthops,182,239
Alipiopsitta xanthops,184,239
Alipiopsitta xanthops,182,239
Alipiopsitta xanthops,586,162
Alipiopsitta xanthops,586,162
Alipiopsitta xanthops,837,350
Alipiopsitta xanthops,837,350
Alipiopsitta xanthops,665,332
Alipiopsitta xanthops,665,332
Alipiopsitta xanthops,1040,305
Alipiopsitta xanthops,305,227
Alipiopsitta xanthops,305,227
Alipiopsitta xanthops,507,343
