id,left,top,right,bottom,xcoord,ycoord
117,-57.443771362158600,-15.532325744837181,-56.443771362158600,-16.532325744837181,-56.9437713621586,-16.0323257448372
121,-57.443771362158600,-19.532325744837181,-56.443771362158600,-20.532325744837181,-56.9437713621586,-20.0323257448372
122,-57.443771362158600,-20.532325744837181,-56.443771362158600,-21.532325744837181,-56.9437713621586,-21.0323257448372
123,-57.443771362158600,-21.532325744837181,-56.443771362158600,-22.532325744837181,-56.9437713621586,-22.0323257448372
124,-57.443771362158600,-22.532325744837181,-56.443771362158600,-23.532325744837181,-56.9437713621586,-23.0323257448372
134,-56.443771362158600,-11.532325744837181,-55.443771362158600,-12.532325744837181,-55.9437713621586,-12.0323257448372
135,-56.443771362158600,-12.532325744837181,-55.443771362158600,-13.532325744837181,-55.9437713621586,-13.0323257448372
136,-56.443771362158600,-13.532325744837181,-55.443771362158600,-14.532325744837181,-55.9437713621586,-14.0323257448372
137,-56.443771362158600,-14.532325744837181,-55.443771362158600,-15.532325744837181,-55.9437713621586,-15.0323257448372
138,-56.443771362158600,-15.532325744837181,-55.443771362158600,-16.532325744837181,-55.9437713621586,-16.0323257448372
139,-56.443771362158600,-16.532325744837181,-55.443771362158600,-17.532325744837181,-55.9437713621586,-17.0323257448372
140,-56.443771362158600,-17.532325744837181,-55.443771362158600,-18.532325744837181,-55.9437713621586,-18.0323257448372
142,-56.443771362158600,-19.532325744837181,-55.443771362158600,-20.532325744837181,-55.9437713621586,-20.0323257448372
143,-56.443771362158600,-20.532325744837181,-55.443771362158600,-21.532325744837181,-55.9437713621586,-21.0323257448372
144,-56.443771362158600,-21.532325744837181,-55.443771362158600,-22.532325744837181,-55.9437713621586,-22.0323257448372
145,-56.443771362158600,-22.532325744837181,-55.443771362158600,-23.532325744837181,-55.9437713621586,-23.0323257448372
146,-56.443771362158600,-23.532325744837181,-55.443771362158600,-24.532325744837181,-55.9437713621586,-24.0323257448372
156,-55.443771362158600,-12.532325744837181,-54.443771362158600,-13.532325744837181,-54.9437713621586,-13.0323257448372
157,-55.443771362158600,-13.532325744837181,-54.443771362158600,-14.532325744837181,-54.9437713621586,-14.0323257448372
158,-55.443771362158600,-14.532325744837181,-54.443771362158600,-15.532325744837181,-54.9437713621586,-15.0323257448372
159,-55.443771362158600,-15.532325744837181,-54.443771362158600,-16.532325744837181,-54.9437713621586,-16.0323257448372
160,-55.443771362158600,-16.532325744837181,-54.443771362158600,-17.532325744837181,-54.9437713621586,-17.0323257448372
161,-55.443771362158600,-17.532325744837181,-54.443771362158600,-18.532325744837181,-54.9437713621586,-18.0323257448372
162,-55.443771362158600,-18.532325744837181,-54.443771362158600,-19.532325744837181,-54.9437713621586,-19.0323257448372
163,-55.443771362158600,-19.532325744837181,-54.443771362158600,-20.532325744837181,-54.9437713621586,-20.0323257448372
164,-55.443771362158600,-20.532325744837181,-54.443771362158600,-21.532325744837181,-54.9437713621586,-21.0323257448372
165,-55.443771362158600,-21.532325744837181,-54.443771362158600,-22.532325744837181,-54.9437713621586,-22.0323257448372
166,-55.443771362158600,-22.532325744837181,-54.443771362158600,-23.532325744837181,-54.9437713621586,-23.0323257448372
167,-55.443771362158600,-23.532325744837181,-54.443771362158600,-24.532325744837181,-54.9437713621586,-24.0323257448372
177,-54.443771362158600,-12.532325744837181,-53.443771362158600,-13.532325744837181,-53.9437713621586,-13.0323257448372
178,-54.443771362158600,-13.532325744837181,-53.443771362158600,-14.532325744837181,-53.9437713621586,-14.0323257448372
179,-54.443771362158600,-14.532325744837181,-53.443771362158600,-15.532325744837181,-53.9437713621586,-15.0323257448372
180,-54.443771362158600,-15.532325744837181,-53.443771362158600,-16.532325744837181,-53.9437713621586,-16.0323257448372
181,-54.443771362158600,-16.532325744837181,-53.443771362158600,-17.532325744837181,-53.9437713621586,-17.0323257448372
